id,area,population,unemployee,crime
40109,福岡県 北九州市 八幡西区,260070,8441,5567
40131,福岡県 福岡市 東区,274481,9057,6056
40132,福岡県 福岡市 博多区,195711,7956,7651
40133,福岡県 福岡市 中央区,167100,5712,7382
40134,福岡県 福岡市 南区,246367,8276,5075
40135,福岡県 福岡市 西区,179387,6199,3439
40136,福岡県 福岡市 城南区,128663,4258,3062
40137,福岡県 福岡市 早良区,209570,6686,4552
40202,福岡県 大牟田市,131090,5184,2236
40203,福岡県 久留米市,306434,10222,5902
40204,福岡県 直方市,57497,2381,1454
40205,福岡県 飯塚市,133357,6327,3335
40206,福岡県 田川市,51534,2485,1321
40207,福岡県 柳川市,74539,2749,981
40210,福岡県 八女市,73262,1957,942
40211,福岡県 筑後市,47844,1501,767
40212,福岡県 大川市,39213,1434,555
40213,福岡県 行橋市,70070,3001,1333
40214,福岡県 豊前市,28104,871,370
40215,福岡県 中間市,46560,2170,1101
40216,福岡県 小郡市,57481,1772,773
40217,福岡県 筑紫野市,97571,3134,1807
40218,福岡県 春日市,108402,3634,2144
40219,福岡県 大野城市,92748,2955,1994
40220,福岡県 宗像市,94148,2840,1461
40221,福岡県 太宰府市,67087,2353,1414
40223,福岡県 古賀市,55943,1746,973
40224,福岡県 福津市,55677,1970,802
40225,福岡県 うきは市,32902,1100,376
40226,福岡県 宮若市,30630,1412,455
40227,福岡県 嘉麻市,45929,2293,658
40228,福岡県 朝倉市,59385,1936,957
40229,福岡県 みやま市,43372,1403,514
40230,福岡県 糸島市,97974,3404,1626
40231,福岡県 那珂川市,46972,1612,845
40341,福岡県 宇美町,39136,1331,563
40342,福岡県 篠栗町,30985,1158,396
40343,福岡県 志免町,40557,1738,1004
40344,福岡県 須恵町,25601,1046,340
40345,福岡県 新宮町,23447,698,580
40348,福岡県 久山町,7858,230,220
40349,福岡県 粕屋町,37685,1344,1044
40381,福岡県 芦屋町,16247,573,247
40382,福岡県 水巻町,30679,1427,684
40383,福岡県 岡垣町,31332,978,393
40384,福岡県 遠賀町,19279,668,470
40401,福岡県 小竹町,9253,492,148
40402,福岡県 鞍手町,18204,950,243
40421,福岡県 桂川町,14535,765,224
40447,福岡県 筑前町,29353,902,363
40448,福岡県 東峰村,2749,58,8
40503,福岡県 大刀洗町,15400,458,203
40522,福岡県 大木町,14282,513,124
40544,福岡県 広川町,20248,608,252
40601,福岡県 香春町,12369,698,194
40602,福岡県 添田町,11810,576,109
40604,福岡県 糸田町,10216,647,160
40605,福岡県 川崎町,20115,1660,433
40608,福岡県 大任町,5741,359,97
40609,福岡県 赤村,3408,158,45
40610,福岡県 福智町,25543,1761,349
40621,福岡県 苅田町,34387,1232,717
40625,福岡県 みやこ町,22898,807,328
40642,福岡県 吉富町,7053,236,77
40646,福岡県 上毛町,8172,217,104
40647,福岡県 築上町,20837,739,337
41201,佐賀県 佐賀市,241361,7039,4217
41202,佐賀県 唐津市,131116,4163,1674
41203,佐賀県 鳥栖市,64723,1885,1099
41204,佐賀県 多久市,22739,698,193
41205,佐賀県 伊万里市,58190,1850,710
41206,佐賀県 武雄市,51497,1511,501
41207,佐賀県 鹿島市,32117,849,332
41208,佐賀県 小城市,45852,1322,505
41209,佐賀県 嬉野市,30392,811,173
41210,佐賀県 神埼市,33537,1083,313
41327,佐賀県 吉野ヶ里町,16100,476,208
41341,佐賀県 基山町,18889,534,213
41345,佐賀県 上峰町,9090,259,138
41346,佐賀県 みやき町,27157,896,182
41387,佐賀県 玄海町,6738,127,49
41401,佐賀県 有田町,21570,629,159
41423,佐賀県 大町町,7956,461,63
41424,佐賀県 江北町,9628,331,128
41425,佐賀県 白石町,27057,584,136
41441,佐賀県 太良町,10660,204,39
42201,長崎県 長崎市,455206,15431,4134
42202,長崎県 佐世保市,269574,9411,2626
42203,長崎県 島原市,50045,1540,464
42204,長崎県 諫早市,144034,4514,1264
42205,長崎県 大村市,88040,2756,1192
42207,長崎県 平戸市,38389,1141,165
42208,長崎県 松浦市,26993,957,236
42209,長崎県 対馬市,38481,1269,324
42210,長崎県 壱岐市,31414,764,249
42211,長崎県 五島市,44765,1276,306
42212,長崎県 西海市,33680,813,115
42213,長崎県 雲仙市,49998,1370,364
42214,長崎県 南島原市,54045,1377,353
42307,長崎県 長与町,42655,1028,225
42308,長崎県 時津町,29127,921,314
42321,長崎県 東彼杵町,9657,317,52
42322,長崎県 川棚町,15158,446,122
42323,長崎県 波佐見町,15367,361,82
42383,長崎県 小値賀町,3268,49,4
42391,長崎県 佐々町,13697,505,112
42411,長崎県 新上五島町,25039,872,111
43100,熊本県 熊本市,727978,22490,12005
43202,熊本県 八代市,136886,3746,1665
43203,熊本県 人吉市,37583,1099,387
43204,熊本県 荒尾市,55960,2347,730
43205,熊本県 水俣市,29120,859,214
43206,熊本県 玉名市,71851,2175,745
43208,熊本県 山鹿市,57726,1741,651
43210,熊本県 菊池市,51862,1488,568
43211,熊本県 宇土市,38023,1134,445
43212,熊本県 上天草市,32502,969,137
43213,熊本県 宇城市,63089,1901,724
43214,熊本県 阿蘇市,29636,793,218
43215,熊本県 天草市,96473,3049,473
43216,熊本県 合志市,51647,1466,374
43348,熊本県 美里町,12254,307,66
43364,熊本県 玉東町,5626,132,44
43367,熊本県 南関町,11203,297,84
43368,熊本県 長洲町,17381,666,124
43369,熊本県 和水町,11900,255,61
43403,熊本県 大津町,29107,870,303
43404,熊本県 菊陽町,32434,961,520
43423,熊本県 南小国町,4687,95,50
43424,熊本県 小国町,8621,156,57
43425,熊本県 産山村,1708,22,18
43428,熊本県 高森町,7081,158,48
43432,熊本県 西原村,6352,168,32
43433,熊本県 南阿蘇村,12254,244,84
43441,熊本県 御船町,18116,591,125
43442,熊本県 嘉島町,8492,255,126
43443,熊本県 益城町,32782,1027,275
43444,熊本県 甲佐町,11604,322,63
43447,熊本県 山都町,18761,346,95
43468,熊本県 氷川町,13232,379,100
43482,熊本県 芦北町,20840,536,123
43484,熊本県 津奈木町,5424,164,24
43501,熊本県 錦町,11647,363,91
43505,熊本県 多良木町,11398,307,58
43506,熊本県 湯前町,4726,135,17
43507,熊本県 水上村,2597,69,6
43510,熊本県 相良村,5398,130,32
43511,熊本県 五木村,1358,30,5
43512,熊本県 山江村,3901,84,21
43513,熊本県 球磨村,4786,132,33
43514,熊本県 あさぎり町,17300,429,123
43531,熊本県 苓北町,8927,176,33
44201,大分県 大分市,462317,15185,5944
44202,大分県 別府市,126959,4848,1690
44203,大分県 中津市,84368,2496,1240
44204,大分県 日田市,74165,2237,751
44205,大分県 佐伯市,80297,2450,606
44206,大分県 臼杵市,43352,1391,271
44207,大分県 津久見市,21456,648,101
44208,大分県 竹田市,26534,574,188
44209,大分県 豊後高田市,25114,690,185
44210,大分県 杵築市,33567,734,314
44211,大分県 宇佐市,60809,1737,521
44212,大分県 豊後大野市,41548,1020,261
44213,大分県 由布市,35386,1020,298
44214,大分県 国東市,34206,683,247
44322,大分県 姫島村,2469,37,3
44341,大分県 日出町,27640,770,211
44461,大分県 九重町,11108,224,73
44462,大分県 玖珠町,18276,451,105
45201,宮崎県 宮崎市,395593,12662,5260
45202,宮崎県 都城市,170955,5068,1689
45203,宮崎県 延岡市,135182,4949,1420
45204,宮崎県 日南市,60914,2021,530
45205,宮崎県 小林市,49820,1258,442
45206,宮崎県 日向市,63555,2299,768
45207,宮崎県 串間市,22118,670,137
45208,宮崎県 西都市,34087,1046,308
45209,宮崎県 えびの市,23079,584,162
45341,宮崎県 三股町,24545,679,204
45361,宮崎県 高原町,10623,311,87
45382,宮崎県 国富町,21692,665,205
45383,宮崎県 綾町,7478,195,57
45401,宮崎県 高鍋町,22522,743,194
45402,宮崎県 新富町,18608,541,98
45403,宮崎県 西米良村,1307,19,2
45404,宮崎県 木城町,5531,132,46
45405,宮崎県 川南町,17323,530,100
45406,宮崎県 都農町,11811,427,51
45421,宮崎県 門川町,19207,693,141
45429,宮崎県 諸塚村,2119,22,7
45430,宮崎県 椎葉村,3478,45,8
45431,宮崎県 美郷町,6874,120,24
45441,宮崎県 高千穂町,14778,273,34
45442,宮崎県 日之影町,5031,85,17
45443,宮崎県 五ヶ瀬町,4812,78,14
46201,鹿児島県 鹿児島市,604367,24683,7090
46203,鹿児島県 鹿屋市,106208,3516,849
46204,鹿児島県 枕崎市,25150,791,132
46206,鹿児島県 阿久根市,25072,770,181
46208,鹿児島県 出水市,57907,1811,382
46210,鹿児島県 指宿市,46822,1382,285
46213,鹿児島県 西之表市,18198,473,120
46214,鹿児島県 垂水市,18928,585,128
46215,鹿児島県 薩摩川内市,102370,2851,648
46216,鹿児島県 日置市,52411,1587,269
